NumberOfPaths,SimpleMCcallmean,SimpleMCputmean,SimpleMCCallError,SimpleMCputError,EulerSpotCallmean,EulerSpotPutmean,EulerSpotCallError,EulerSpotPutError,EulerLogSpotCallmean,EulerLogSpotPutmean,EulerLogSpotCallError,EulerLogSpotPutError,MilsteinCallmean,MilsteinPutmean,MilsteinCallError,MilsteinPutError,
50,12.4278,17.2901,0.48198,0.253936,13.0146,16.2067,0.562477,0.0818879,7.71552,16.2685,0.190098,0.143639,9.39581,13.8681,0.171951,0.359711,
150,7.54791,14.718,0.152892,0.0905469,9.23363,14.5519,0.0963186,0.0954826,8.25299,15.0634,0.0673836,0.0722399,8.92651,16.3866,0.0850447,0.115937,
300,9.68846,15.4324,0.0545372,0.0314607,9.01617,16.5315,0.0477321,0.0547219,8.49866,16.0065,0.0323567,0.0213896,9.27559,15.196,0.048569,0.100056,
600,9.31149,15.6692,0.0297463,0.0123601,9.08261,15.8932,0.0178786,0.0210026,8.70454,16.527,0.0272778,0.0419954,8.99807,15.5531,0.0435449,0.0336913,
1200,9.07024,15.6897,0.0120253,0.011188,8.94621,15.6545,0.0193152,0.0133212,9.0425,15.6339,0.0122964,0.0141825,9.11973,15.5757,0.0148295,0.00560861,
2400,9.00549,15.6721,0.00640163,0.00577265,8.98091,15.722,0.00651427,0.00849157,9.18603,15.6459,0.00813375,0.00572551,8.97183,15.6643,0.00715684,0.00767946,
4800,9.00299,15.7118,0.00359834,0.0027956,9.07668,15.652,0.00319437,0.00398886,9.09096,15.6448,0.00378622,0.00380689,9.00039,15.7561,0.00420864,0.00426739,
9600,9.06168,15.6619,0.00240123,0.00150727,9.08271,15.6805,0.00170416,0.00167457,9.11163,15.6769,0.00186497,0.00175146,9.10058,15.6872,0.00188511,0.00180954,
19200,9.04057,15.6571,0.000835645,0.000719603,9.07641,15.6676,0.00107828,0.000768757,9.06883,15.7009,0.000916756,0.000812548,9.04919,15.6974,0.000849735,0.000917328,
38400,9.0928,15.6632,0.000464014,0.000505321,9.0562,15.681,0.000451622,0.000477189,9.05618,15.6743,0.000435038,0.000370818,9.05822,15.669,0.000415189,0.000454732,
76800,9.06445,15.6744,0.000288675,0.00018432,9.04656,15.6789,0.000266927,0.000247371,9.06396,15.6749,0.000226643,0.000207585,9.03481,15.6925,0.00024831,0.000227719,
